id_projeto,categoria_recurso,alocacao_percentual,valor_orcado,valor_realizado
PROJ-0001,Consultoria,8.697078397896533,20458.137515372015,22390.01484799245
PROJ-0001,Recursos Humanos,71.49450853057002,168176.53241645984,178591.64269326636
PROJ-0001,Materiais,3.301006688149008,7764.958032532912,8589.705405997835
PROJ-0001,Infraestrutura,16.507406383384424,38830.37203563518,42681.934354187826
PROJ-0002,Consultoria,71.6452514715458,1337341.7272081093,1378187.2394442025
PROJ-0002,Materiais,5.8392788376874885,108996.9130688887,113077.81006350608
PROJ-0002,Equipamentos,6.973843797826247,130174.88414523238,135394.36676107213
PROJ-0002,Recursos Humanos,15.541625892940456,290102.4755777694,300583.89527531684
PROJ-0003,Equipamentos,60.713362796087885,550512.9529508753,626326.6412268368
PROJ-0003,Recursos Humanos,30.87529248272206,279958.93581075885,340238.1935847671
PROJ-0003,Materiais,8.411344721190058,76269.11123836595,85781.14328425801
PROJ-0004,Consultoria,3.619846037923238,13361.358504419979,14051.815429459357
PROJ-0004,Materiais,28.265880352802746,104333.32160544433,109806.94815499261
PROJ-0004,Recursos Humanos,64.13740745324267,236740.15014696217,246041.89791755265
PROJ-0004,Software,3.9768661560313325,14679.169743173494,15006.403848784079
PROJ-0005,Recursos Humanos,3.29391794724943,48855.19335852671,49160.10221978808
PROJ-0005,Equipamentos,21.098919108172296,312937.902277265,314882.5450469905
PROJ-0005,Software,21.3561749789015,316753.5059165683,320621.4854703776
PROJ-0005,Materiais,39.24845042407939,582130.66178292,586111.1819790828
PROJ-0005,Infraestrutura,15.002537541597372,222516.73666471973,224360.03304547037
PROJ-0006,Software,68.21649377356547,753251.9815672119,807961.553299403
PROJ-0006,Infraestrutura,2.5612547625106252,28281.579988023324,30045.527740266018
PROJ-0006,Materiais,29.222251463923886,322674.4384447647,339101.67348944535
PROJ-0007,Software,39.72972462542001,787263.5637205177,857494.8460304239
PROJ-0007,Consultoria,51.18600709705954,1014275.2999116413,1077148.9574101088
PROJ-0007,Equipamentos,9.084268277520446,180009.13636784084,192694.02115421926
PROJ-0008,Infraestrutura,39.07618049780755,98259.40043256695,99510.92091731001
PROJ-0008,Consultoria,27.9490519034625,70279.56795437066,71080.3606564268
PROJ-0008,Materiais,32.97476759872996,82917.03161306241,85227.771292494
PROJ-0009,Infraestrutura,7.796628320104544,152270.10024872178,168742.2215579892
PROJ-0009,Recursos Humanos,5.393802737716421,105342.31591828614,109900.97467502269
PROJ-0009,Consultoria,20.492452852056314,400222.72731387283,417821.6890107864
PROJ-0009,Equipamentos,28.76241657943599,561737.1864005297,612226.9873256591
PROJ-0009,Materiais,31.52088838420175,615610.8303655563,643343.1807235846
PROJ-0009,Software,6.0338111264849825,117841.83975303333,125615.71667258986
PROJ-0010,Software,64.70414443548226,622655.7463999781,656711.6182255124
PROJ-0010,Infraestrutura,23.82901413753236,229309.46252717043,244680.13846090407
PROJ-0010,Recursos Humanos,11.466841426985377,110346.79107285153,117880.94001659434
PROJ-0011,Materiais,43.34257147016789,543579.1263902518,602097.2609530515
PROJ-0011,Consultoria,39.34403392757001,493431.6277412622,517678.35023040517
PROJ-0011,Equipamentos,17.313394602262104,217135.24586848606,230256.35270204904
PROJ-0012,Equipamentos,28.353208704866056,105146.74035364758,106162.72418273425
PROJ-0012,Materiais,7.648473942027811,28364.059675052456,28730.50506611316
PROJ-0012,Consultoria,63.998317353106124,237335.19997129994,239476.6921923199
PROJ-0013,Consultoria,8.830269126016898,8865.943413286006,9345.153381176231
PROJ-0013,Infraestrutura,7.7034329702105335,7734.554839410183,8356.363034229142
PROJ-0013,Materiais,20.262852712247785,20344.714637205263,22389.442760398568
PROJ-0013,Equipamentos,12.655719912994675,12706.849021443175,14263.081019036475
PROJ-0013,Software,45.93760716144858,46123.19509438084,49635.83246271614
PROJ-0013,Recursos Humanos,4.6101181170815515,4628.742994274561,5109.395404978436
PROJ-0014,Infraestrutura,12.134669827210748,128439.04874601735,140650.58312845806
PROJ-0014,Consultoria,27.031211754979704,286111.0498842301,319743.80820862716
PROJ-0014,Equipamentos,60.834118417809535,643896.9013697525,768893.0496473256
PROJ-0015,Software,31.046773110222396,249394.3818461811,270084.6924044944
PROJ-0015,Equipamentos,12.723316670118331,102204.62154672675,107856.85211008955
PROJ-0015,Infraestrutura,11.122711017821226,89347.1804266154,93734.3480728146
PROJ-0015,Consultoria,5.124231116691009,41162.23116802254,43367.069516435084
PROJ-0015,Materiais,11.141138905167947,89495.2090657674,93691.02584843348
PROJ-0015,Recursos Humanos,28.84182917997909,231682.37594668684,241342.33756325874
PROJ-0016,Infraestrutura,28.734304144088778,409027.93465939927,435774.7245106415
PROJ-0016,Recursos Humanos,6.360454034989906,90539.98191089535,95757.39616363979
PROJ-0016,Materiais,9.977818140769825,142032.54500477453,153569.0553893659
PROJ-0016,Equipamentos,41.923061763298655,596767.6572800565,625525.5127912037
PROJ-0016,Software,9.512729944038576,135412.09358929863,148972.48583362484
PROJ-0016,Consultoria,3.4916319728142584,49702.78755557559,55294.28562517671
PROJ-0017,Equipamentos,25.715432021446,468617.46081321477,485376.9110984662
PROJ-0017,Software,14.386395130036359,262166.15573367855,276333.11037562223
PROJ-0017,Recursos Humanos,37.25622869514507,678927.7067573676,701898.7873447897
PROJ-0017,Consultoria,22.44143441197975,408954.74757638935,417709.8990239167
PROJ-0017,Materiais,0.20050974139282665,3653.929119349759,3836.0672021196356
PROJ-0018,Software,63.1330282733255,514824.5923576601,568259.9438792561
PROJ-0018,Recursos Humanos,6.823621740852481,55643.90584795564,65820.35063093755
PROJ-0018,Materiais,30.043349985822022,244991.50179438424,273344.9975029952
PROJ-0019,Consultoria,9.50505103820983,93584.26120894405,94428.74036181129
PROJ-0019,Recursos Humanos,46.61460310821334,458955.26240666036,462617.7568721171
PROJ-0019,Materiais,16.175808351679713,159262.803320467,161055.27123025616
PROJ-0019,Software,27.704537501897143,272771.6730639288,274557.9390249294
PROJ-0020,Software,24.681023371226683,447663.4146663747,570502.1120787963
PROJ-0020,Materiais,12.398665304719783,224886.49535039524,288787.33721787663
PROJ-0020,Infraestrutura,62.920311324053536,1141246.08998323,1347301.031903688
PROJ-0021,Materiais,10.564754040802105,35430.48738893598,36681.193653458744
PROJ-0021,Consultoria,21.22970644075866,71197.00500505029,76366.24807397753
PROJ-0021,Infraestrutura,68.20553951843922,228737.5076060137,238365.82149069916
PROJ-0022,Recursos Humanos,52.37715708803439,231918.71878382395,246239.5381646619
PROJ-0022,Consultoria,22.452908398720933,99418.33498236047,104998.35365771894
PROJ-0022,Equipamentos,20.351693042864504,90114.44755677803,93504.3538604335
PROJ-0022,Infraestrutura,4.70971510301753,20853.959116047197,22321.568332958024
PROJ-0022,Software,0.10852636736264937,480.53956099038066,510.9155198822869
PROJ-0023,Recursos Humanos,17.129107482137616,205410.20143289646,211054.31036458266
PROJ-0023,Materiais,16.517674526097696,198077.97079602047,205567.48922288365
PROJ-0023,Consultoria,2.1896638728729747,26258.186403827967,27296.03338960299
PROJ-0023,Infraestrutura,64.16355411889172,769441.6413672552,809854.6491235237
PROJ-0024,Consultoria,3.623404864847334,32973.20167440263,37198.05257687786
PROJ-0024,Equipamentos,19.407482116128705,176609.25170569817,200412.05179628913
PROJ-0024,Software,34.332750724103846,312430.0915543884,327401.92803468334
PROJ-0024,Materiais,8.400006617125328,76440.5642162375,81501.1543440436
PROJ-0024,Recursos Humanos,34.23635567779478,311552.8908492732,334273.70804533083
PROJ-0025,Recursos Humanos,7.702629603842658,150858.46563273168,151683.6501268711
PROJ-0025,Equipamentos,4.194976181799438,82159.95091292018,82849.1192797219
PROJ-0025,Materiais,3.4404231275861834,67381.78788917622,67991.69316769775
PROJ-0025,Software,46.745132262753216,915518.3738083458,922284.1876583267
PROJ-0025,Consultoria,37.916838824018505,742613.4217568261,750996.5834044354
PROJ-0026,Materiais,16.72219377341355,50207.38347304778,52150.38105098615
PROJ-0026,Recursos Humanos,31.074627428201122,93299.70437552818,98398.79534501795
PROJ-0026,Equipamentos,22.080590442451335,66295.64796803358,69574.72106009783
